onetsoccode,occupation_title,median_annual_wage_2024,mean_annual_wage_2024,total_employment_2024,observed_exposure,pss,pred_productivity_effect,expertise_percentile,"Employment Percent Change, 2024-2034"
29-2055,Surgical Technologists,62830.0,65810.0,113890.0,0.0,0.0009949803352355957,0.021033983677625656,52.12156295776367,4.5
29-2056,Veterinary Technologists and Technicians,45980.0,46280.0,131320.0,0.0,0.11057445406913757,0.07250052690505981,63.13649368286133,9.1
29-2057,Ophthalmic Medical Technicians,44080.0,45360.0,76520.0,0.0,0.1326056718826294,0.20471304655075073,41.34059143066406,19.8
29-2061,Licensed Practical and Licensed Vocational Nurses,62340.0,64150.0,632430.0,0.0,0.11467599868774414,0.12492439150810242,59.6848258972168,2.6
29-2072,Medical Records Specialists,50250.0,55970.0,187910.0,0.6674,0.10526090860366821,,43.95396041870117,7.1
29-2081,"Opticians, Dispensing",46560.0,49970.0,79690.0,0.0,0.2005406618118286,0.15967534482479095,48.20875549316406,2.9
29-2091,Orthotists and Prosthetists,78310.0,81330.0,9930.0,0.0,0.09881186485290527,0.11137444525957108,86.36664581298828,13.3
29-2092,Hearing Aid Specialists,61560.0,63930.0,10580.0,0.0,0.12269985675811768,0.11482826620340347,70.30357360839844,18.4
29-2099,Neurodiagnostic Technologists,48790.0,56370.0,174060.0,0.0445,0.1035713255405426,0.16341257095336914,78.9161605834961,5.2
29-2099,Ophthalmic Medical Technologists,48790.0,56370.0,174060.0,0.0445,0.19869613647460938,0.2095729261636734,62.410526275634766,5.2
29-2099,Patient Representatives,48790.0,56370.0,174060.0,0.0445,0.036050379276275635,0.24624405801296234,47.07448959350586,5.2
29-9021,Health Information Technologists and Medical Registrars,67310.0,73410.0,37620.0,0.3063,0.15667390823364258,,63.90306854248047,14.7
29-9091,Athletic Trainers,60250.0,63960.0,28950.0,0.0531,0.2742997407913208,0.14793114364147186,79.48735809326172,11.1
29-9092,Genetic Counselors,98910.0,102890.0,3510.0,0.0123,0.09044885635375977,0.23237022757530212,98.73983001708984,9.3
29-9093,Surgical Assistants,60290.0,67190.0,22860.0,0.0,-0.06955134868621826,0.025755638256669044,65.13003540039062,5.1
29-9099,Midwives,64030.0,73200.0,36970.0,0.0,0.03193958103656769,0.22148540616035461,89.50316619873047,3.6
31-1121,Home Health Aides,,,,,,0.05551918223500252,,
31-1122,Personal Care Aides,,,,,,0.12524522840976715,,
31-1131,Nursing Assistants,39530.0,41270.0,1388430.0,0.0,0.1585019826889038,0.04003934934735298,36.19135665893555,2.3
